class,area,year,id,
'Café',47290.55251,1997,1,
'Outras Lavouras Perenes',937.0827535,1997,1,
'Silvicultura',575747.2046,1997,1,
'Mosaico de Usos',2874706.468,1997,1,
'Praia  Duna e Areal',517.5144113,1997,1,
'Área Urbanizada',181272.9581,1997,1,
'Mineração',2011.777358,1997,1,
'Outras Áreas não Vegetadas',2801.729249,1997,1,
'Rio Lago e Oceano',397739.7005,1997,1,
'Aquicultura',0,1997,1,
'Formação Florestal',4944347.594,1998,1,
'Formação Savânica',160.5644021,1998,1,
'Mangue',20350.1456,1998,1,
'Restinga Arbórea',133969.0516,1998,1,
'Campo Alagado e Área Pantanosa',145482.7638,1998,1,
'Formação Campestre',33499.09478,1998,1,
'Apicum',347.9128377,1998,1,
'Afloramento Rochoso',9367.229638,1998,1,
'Restinga Herbácea',3672.554459,1998,1,
'Pastagem',4518427.855,1998,1,
'Soja',2890409.222,1998,1,
'Cana',81723.40871,1998,1,
'Arroz',210.3196614,1998,1,
'Algodão (beta)',0,1998,1,
'Outras Lavouras Temporárias',2982304.757,1998,1,
'Café',46697.26166,1998,1,
'Outras Lavouras Perenes',1337.214162,1998,1,
'Silvicultura',581890.9912,1998,1,
'Mosaico de Usos',2934815.531,1998,1,
'Praia  Duna e Areal',471.2887191,1998,1,
'Área Urbanizada',186867.4763,1998,1,
'Mineração',2182.508216,1998,1,
'Outras Áreas não Vegetadas',2836.232648,1998,1,
'Rio Lago e Oceano',406495.8584,1998,1,
'Aquicultura',0,1998,1,
'Formação Florestal',4932676.749,1999,1,
'Formação Savânica',236.0279054,1999,1,
'Mangue',19702.18606,1999,1,
'Restinga Arbórea',134044.3436,1999,1,
'Campo Alagado e Área Pantanosa',144878.9076,1999,1,
'Formação Campestre',33547.77057,1999,1,
'Apicum',358.3489838,1999,1,
'Afloramento Rochoso',9370.837159,1999,1,
'Restinga Herbácea',3659.784044,1999,1,
'Pastagem',4493801.45,1999,1,
'Soja',3310295.256,1999,1,
'Cana',98545.16117,1999,1,
'Arroz',228.332561,1999,1,
'Algodão (beta)',0,1999,1,
'Outras Lavouras Temporárias',2574055.925,1999,1,
'Café',47392.60179,1999,1,
'Outras Lavouras Perenes',1453.728995,1999,1,
'Silvicultura',590369.3847,1999,1,
'Mosaico de Usos',2922122.699,1999,1,
'Praia  Duna e Areal',454.7104067,1999,1,
'Área Urbanizada',195429.4391,1999,1,
'Mineração',2309.746197,1999,1,
'Outras Áreas não Vegetadas',3351.890832,1999,1,
'Rio Lago e Oceano',409625.4481,1999,1,
'Aquicultura',0,1999,1,
'Formação Florestal',4913539.486,2000,1,
'Formação Savânica',341.6502466,2000,1,
'Mangue',20010.73797,2000,1,
'Restinga Arbórea',135187.2395,2000,1,
'Campo Alagado e Área Pantanosa',146359.0024,2000,1,
'Formação Campestre',35152.77537,2000,1,
'Apicum',356.0912758,2000,1,
'Afloramento Rochoso',9361.13444,2000,1,
'Restinga Herbácea',3666.807996,2000,1,
'Pastagem',4536795.208,2000,1,
'Soja',3607825.366,2000,1,
'Cana',118359.8929,2000,1,
'Arroz',329.4820383,2000,1,
'Algodão (beta)',0,2000,1,
'Outras Lavouras Temporárias',2283976.074,2000,1,
'Café',51430.74791,2000,1,
'Outras Lavouras Perenes',1669.969716,2000,1,
'Silvicultura',603255.1533,2000,1,
'Mosaico de Usos',2862906.096,2000,1,
'Praia  Duna e Areal',458.8253265,2000,1,
'Área Urbanizada',200494.5405,2000,1,
'Mineração',2390.60841,2000,1,
'Outras Áreas não Vegetadas',4631.993854,2000,1,
'Rio Lago e Oceano',389442.0567,2000,1,
'Aquicultura',0,2000,1,
'Formação Florestal',4904766.756,2001,1,
'Formação Savânica',620.3660769,2001,1,
'Mangue',19953.92545,2001,1,
'Restinga Arbórea',134962.7777,2001,1,
'Campo Alagado e Área Pantanosa',146246.9367,2001,1,
'Formação Campestre',34771.15605,2001,1,
'Apicum',324.7788049,2001,1,
'Afloramento Rochoso',9368.874675,2001,1,
'Restinga Herbácea',3713.803528,2001,1,
'Pastagem',4503372.093,2001,1,
'Soja',3410456.373,2001,1,
'Cana',131880.4225,2001,1,
'Arroz',319.1645671,2001,1,
'Algodão (beta)',0,2001,1,
'Outras Lavouras Temporárias',2572143.302,2001,1,
'Café',49616.33157,2001,1,
'Outras Lavouras Perenes',1869.289045,2001,1,
'Silvicultura',613048.2735,2001,1,
'Mosaico de Usos',2788758.861,2001,1,
'Praia  Duna e Areal',470.8605399,2001,1,
'Área Urbanizada',204053.4131,2001,1,
'Mineração',2494.881633,2001,1,
'Outras Áreas não Vegetadas',5398.722392,2001,1,
'Rio Lago e Oceano',389309.5767,2001,1,
'Aquicultura',0,2001,1,
'Formação Florestal',4912672.935,2002,1,
'Formação Savânica',728.0796621,2002,1,
'Mangue',20116.20554,2002,1,
'Restinga Arbórea',135369.7409,2002,1,
'Campo Alagado e Área Pantanosa',150635.9655,2002,1,
'Formação Campestre',35280.32126,2002,1,
'Apicum',316.1277433,2002,1,
'Afloramento Rochoso',9369.91526,2002,1,
'Restinga Herbácea',3747.153129,2002,1,
'Pastagem',4495793.523,2002,1,
'Soja',3503504.777,2002,1,
'Cana',153554.3738,2002,1,
'Arroz',240.9875909,2002,1,
'Algodão (beta)',0,2002,1,
'Outras Lavouras Temporárias',2395150.428,2002,1,
'Café',49326.33057,2002,1,
'Outras Lavouras Perenes',1848.182671,2002,1,
'Silvicultura',621355.8976,2002,1,
'Mosaico de Usos',2834960.791,2002,1,
'Praia  Duna e Areal',477.5611867,2002,1,
'Área Urbanizada',208560.201,2002,1,
'Mineração',2585.545491,2002,1,
'Outras Áreas não Vegetadas',5721.559221,2002,1,
'Rio Lago e Oceano',386608.0243,2002,1,
'Aquicultura',0,2002,1,
'Formação Florestal',4898979.757,2003,1,
