mun;grupos;num;area;n_af_nao;n_af_sim;area_af_nao;area_af_sim;usa_agrotoxico;nao_usa_agrotoxico;naf_usa_agrotoxico;naf_nao_usa_agrotoxico;af_usa_agrotoxico;af_nao_usa_agrotoxico;naf_organico;naf_n_organico;af_organico;af_n_organico;;
Alvorada do Sul;De 5 a menos de 10 ha;26;197;1;25;0;0;18;8;1;0;17;8;0;0;0;5;;
Alvorada do Sul;De 10 a menos de 20 ha;114;1574;4;110;67;1506;103;11;3;1;100;10;0;0;1;4;;
Alvorada do Sul;De 20 a menos de 50 ha;84;2606;18;66;550;2056;77;7;16;2;61;5;0;1;0;2;;
Alvorada do Sul;De 50 a menos de 100 ha;21;1502;17;4;0;0;20;1;16;1;4;0;0;0;0;0;;
Alvorada do Sul;De 100 a menos de 200 ha;31;4565;31;0;4565;0;29;2;29;2;0;0;0;2;0;0;;
Alvorada do Sul;De 200 a menos de 500 ha;16;5228;16;0;5228;0;15;1;15;1;0;0;0;1;0;0;;
Alvorada do Sul;De 500 a menos de 1.000 ha;11;7999;11;0;7999;0;11;0;11;0;0;0;0;0;0;0;;
Alvorada do Sul;De 1.000 a menos de 2.500 ha;3;3716;3;0;3716;0;3;0;3;0;0;0;0;0;0;0;;
Alvorada do Sul;De 2.500 a menos de 10.000 ha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Alvorada do Sul;De 10.000 ha e mais;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Alvorada do Sul;Produtor sem área;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Amaporã;Mais de 0 a menos de 0,1 ha;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;;
Amaporã;De 0,1 a menos de 0,2 ha;3;0;1;2;0;0;0;3;0;1;0;2;0;1;0;2;;
Amaporã;De 0,2 a menos de 0,5 ha;5;1;5;0;1;0;0;5;0;5;0;0;0;5;0;0;;
Amaporã;De 0,5 a menos de 1 ha;62;31;49;13;25;7;1;61;1;48;0;13;1;44;0;12;;
Amaporã;De 1 a menos de 2 ha;7;8;2;5;0;0;1;6;0;2;1;4;0;2;0;3;;
Amaporã;De 2 a menos de 3 ha;5;12;3;2;0;0;0;5;0;3;0;2;1;2;1;1;;
Amaporã;De 3 a menos de 4 ha;5;18;3;2;0;0;1;4;0;3;1;1;0;3;0;1;;
Amaporã;De 4 a menos de 5 ha;7;33;2;5;0;0;1;6;0;2;1;4;0;2;0;4;;
Amaporã;De 5 a menos de 10 ha;9;72;2;7;0;0;1;8;0;2;1;6;1;0;1;3;;
Amaporã;De 10 a menos de 20 ha;89;1313;4;85;59;1254;11;78;1;3;10;75;1;1;2;66;;
Amaporã;De 20 a menos de 50 ha;61;1655;12;49;362;1293;8;53;2;10;6;43;0;10;1;30;;
Amaporã;De 50 a menos de 100 ha;13;942;4;9;305;637;3;10;2;2;1;8;0;1;0;4;;
Amaporã;De 100 a menos de 200 ha;24;3710;24;0;3710;0;6;18;6;18;0;0;1;11;0;0;;
Amaporã;De 200 a menos de 500 ha;7;2732;7;0;2732;0;2;5;2;5;0;0;0;2;0;0;;
Amaporã;De 500 a menos de 1.000 ha;9;6532;9;0;6532;0;5;4;5;4;0;0;0;2;0;0;;
Amaporã;De 1.000 a menos de 2.500 ha;6;8026;6;0;8026;0;3;3;3;3;0;0;0;2;0;0;;
Amaporã;De 2.500 a menos de 10.000 ha;3;10371;3;0;10371;0;3;0;3;0;0;0;0;0;0;0;;
Amaporã;De 10.000 ha e mais;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Amaporã;Produtor sem área;3;0;1;2;0;0;0;1;0;1;0;0;0;1;0;0;;
Ampére;Mais de 0 a menos de 0,1 ha;7;0;3;4;0;0;3;4;2;1;1;3;1;0;0;3;;
Ampére;De 0,1 a menos de 0,2 ha;7;1;1;6;0;0;0;7;0;1;0;6;1;0;2;4;;
Ampére;De 0,2 a menos de 0,5 ha;14;4;6;8;2;2;4;10;2;4;2;6;2;2;2;3;;
Ampére;De 0,5 a menos de 1 ha;23;15;7;16;4;11;8;15;3;4;5;11;2;2;3;6;;
